,fifo_consolidate,sjf_consolidate,srtf_consolidate,qssf_consolidate
6214e9,103930,23337,19532,28213
7f04ca,133739,133271,132980,133973
11cb48,83397,14444,9057,21532
b436b2,28776,28610,28291,28685
ee9e8c,255562,130493,122609,138285
e13805,87298,85949,85314,85915
6c71a0,31088,31030,31020,31052
2869ce,70295,56388,53128,57979
ed69ec,28377,28346,28346,28377
103959,24743,23283,22735,23120
0e4a51,233539,168747,146023,196976
all,89757,34272,30683,38696
